2023-08-14 23:36:13 [1ms]	[INFO]	[intercept]	src/elf.cc:223	[TraceeElf::search_rela_plt]: search rela index success, symbol in dynsym index 7, index of rela is 2no error

2023-08-14 23:36:13 [1ms]	[INFO]	[intercept]	src/monitor.cc:130	load address is: 558a1fae0000

2023-08-14 23:38:19 [1ms]	[INFO]	[intercept]	src/elf.cc:198	[TraceeElf::search_symbol]: search symbol: randsuccess, symbol index in .dynsymis 7no error

2023-08-14 23:38:19 [1ms]	[INFO]	[intercept]	src/elf.cc:223	[TraceeElf::search_rela_plt]: search rela index success, symbol in dynsym index 7, index of rela is 2no error

2023-08-14 23:38:19 [1ms]	[INFO]	[intercept]	src/monitor.cc:130	load address is: 55bfe26de000

2023-08-14 23:38:48 [1ms]	[INFO]	[intercept]	src/elf.cc:198	[TraceeElf::search_symbol]: search symbol: randsuccess, symbol index in .dynsymis 7no error

2023-08-14 23:38:48 [2ms]	[INFO]	[intercept]	src/elf.cc:223	[TraceeElf::search_rela_plt]: search rela index success, symbol in dynsym index 7, index of rela is 2no error

2023-08-14 23:38:48 [2ms]	[INFO]	[intercept]	src/monitor.cc:130	load address is: 55fdc108e000

2023-08-14 23:39:06 [1ms]	[INFO]	[intercept]	src/elf.cc:198	[TraceeElf::search_symbol]: search symbol: randsuccess, symbol index in .dynsymis 7no error

2023-08-14 23:39:06 [1ms]	[INFO]	[intercept]	src/elf.cc:223	[TraceeElf::search_rela_plt]: search rela index success, symbol in dynsym index 7, index of rela is 2no error

2023-08-14 23:39:06 [1ms]	[INFO]	[intercept]	src/monitor.cc:130	load address is: 559e62c57000

2023-08-14 23:40:09 [1ms]	[INFO]	[intercept]	src/elf.cc:198	[TraceeElf::search_symbol]: search symbol: randsuccess, symbol index in .dynsymis 7no error

2023-08-14 23:40:09 [1ms]	[INFO]	[intercept]	src/elf.cc:223	[TraceeElf::search_rela_plt]: search rela index success, symbol in dynsym index 7, index of rela is 2no error

2023-08-14 23:40:09 [1ms]	[INFO]	[intercept]	src/monitor.cc:130	load address is: 55c66fb02000

2023-08-14 23:41:11 [1ms]	[INFO]	[intercept]	src/elf.cc:198	[TraceeElf::search_symbol]: search symbol: randsuccess, symbol index in .dynsymis 7no error

2023-08-14 23:41:11 [2ms]	[INFO]	[intercept]	src/elf.cc:223	[TraceeElf::search_rela_plt]: search rela index success, symbol in dynsym index 7, index of rela is 2no error

2023-08-14 23:41:11 [2ms]	[INFO]	[intercept]	src/monitor.cc:130	load address is: 559eb3330000

2023-08-14 23:41:38 [1ms]	[INFO]	[intercept]	src/elf.cc:198	[TraceeElf::search_symbol]: search symbol: randsuccess, symbol index in .dynsymis 7no error

2023-08-14 23:41:38 [1ms]	[INFO]	[intercept]	src/elf.cc:223	[TraceeElf::search_rela_plt]: search rela index success, symbol in dynsym index 7, index of rela is 2no error

2023-08-14 23:41:38 [1ms]	[INFO]	[intercept]	src/monitor.cc:130	load address is: 55dc73666000

